Country,Measure,Economic Indicators,Year,Value,Unit
K02000001,National currency (nominal),Energy efficiency,2011,149.5270,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2011,41.8650,Millions of GBP
K02000001,National currency (nominal),Renewables,2011,58.8020,Millions of GBP
K02000001,National currency (nominal),Nuclear,2011,45.1360,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2011,16.6720,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2011,16.4120,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2011,22.7290,Millions of GBP
K02000001,National currency (nominal),Unallocated,2011,0.0000,Millions of GBP
K02000001,National currency (nominal),Total Budget,2011,351.1430,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2011,0.0210,Percent
K02000001,National currency (nominal),Energy efficiency,2012,90.9310,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2012,35.7470,Millions of GBP
K02000001,National currency (nominal),Renewables,2012,58.7100,Millions of GBP
K02000001,National currency (nominal),Nuclear,2012,62.6850,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2012,13.5880,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2012,19.7720,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2012,36.1510,Millions of GBP
K02000001,National currency (nominal),Unallocated,2012,0.0000,Millions of GBP
K02000001,National currency (nominal),Total Budget,2012,317.5830,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2012,0.0184,Percent
K02000001,National currency (nominal),Energy efficiency,2013,117.5860,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2013,35.9980,Millions of GBP
K02000001,National currency (nominal),Renewables,2013,89.4010,Millions of GBP
K02000001,National currency (nominal),Nuclear,2013,57.7330,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2013,22.1800,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2013,25.1750,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2013,57.6010,Millions of GBP
K02000001,National currency (nominal),Unallocated,2013,0.0000,Millions of GBP
K02000001,National currency (nominal),Total Budget,2013,405.6740,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2013,0.0226,Percent
K02000001,National currency (nominal),Energy efficiency,2014,62.5200,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2014,71.9490,Millions of GBP
K02000001,National currency (nominal),Renewables,2014,69.3580,Millions of GBP
K02000001,National currency (nominal),Nuclear,2014,55.2920,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2014,12.3510,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2014,29.6080,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2014,43.4790,Millions of GBP
K02000001,National currency (nominal),Unallocated,2014,0.0000,Millions of GBP
K02000001,National currency (nominal),Total Budget,2014,344.5570,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2014,0.0184,Percent
K02000001,National currency (nominal),Energy efficiency,2015,78.4860,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2015,16.5650,Millions of GBP
K02000001,National currency (nominal),Renewables,2015,69.5340,Millions of GBP
K02000001,National currency (nominal),Nuclear,2015,124.6130,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2015,13.0040,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2015,38.8130,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2015,28.9520,Millions of GBP
K02000001,National currency (nominal),Unallocated,2015,8.6360,Millions of GBP
K02000001,National currency (nominal),Total Budget,2015,378.6020,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2015,0.0196,Percent
K02000001,National currency (nominal),Energy efficiency,2016,105.9350,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2016,26.8370,Millions of GBP
